quote,tags
life is a test  it was designed to be so  it is where we taste the bitter and the sweet where we feel pain and pleasure where we learn right from wrong where we pass through both darkness and light  it is a time to make choices  and through this process we form our characterssome grand and glorious some barely decent and others just plain monstrous,life
of course she wants him to forget her the last place she wants to reside is in his thoughts what an unpleasant place to be,love
no i dont believe it joseph said from listening to my father and grandfather talk about el shaddai i think hes different from the gods of egypt i think that none of us could ever be good enough for god i think of him as being so good that a human cant even enter his presence a man would die if he did i think gods merciful rashidi i think he forgives us because he loves us just as we forgive our children because we love them rashidis eyes brightened a god that loves people now theres a new thought,love
every sunday behind bibles virginssoldiers tight against me longingand my pelvis rubbing godsto the big black woman voicessoldiers tight against me longingall that rising sitting kneelingto the big black woman voicesspirits warming tensing folding thenall that rising sitting kneelinglike some kind of dance a matingspirits warming tensing folding andgod went shhhhh between my thighs ,love
ivanov and this whole romance of ours is commonplace and trite he lost heart and he lost his way she came along strong and brave in spirit and gave him an helping hand thats all very well and plausible in novels but in lifesasha in life its the sameivanov i see you have a fine understanding of life,life
we always deceive ourselves twice about the people we love  first to their advantage  then to their disadvantage,love
is the any sincere friend like the saviour lord jesus christ,inspirational
yesterday was good but let us dream and work hard to make tomorrow even better,inspirational_philosophy
but then the truest perceptions of life for me at least have always proved to be the most elusive and the most shortlived,philosophy_life
la vie est belle la vie est locasometimes upother times downbig smileswaterfallsmake the best of itas no one knows its up to you how it goes,life_love
we often hate others because we fail to understand them,philosophy
so whats the point of it allseriously i asked seriously youre asking me for the meaning of life isnt that a little stereotypicalwell its a reasonable question you persisted,humor_inspirational
i know two kinds of christians those that love and those that love to be right,love
she gazed at him alluringly and grinned no further words were necessary,love
and i look right into his eyes right into him as far as i can see because i want him to hear me i want him to hear me with everything i mean and feel and say,love
if a relationship is founded on love it doesnt end,love
the dull people decided years and years ago as everyone knows that novelwriting was the lowest species of literary exertion and that novel reading was a dangerous luxury and an utter waste of time,humor
it has been said that sometimes the greatest hope in our lives is just a second chance to do what we should have done right in the first place,life_love
life goes on with or without you,life_love
bad in good and good in bad see the life you could have had your life is the keyhole and you are the key dont look back now choose to be happydeetkatu see the little peoplean enchanting adventure,inspirational
the central truth that serves as the platform for christian marriage  and for all christian relationships  is that in christ we are at every moment eternally loved and genuinely significant,love
while youve been gadding about the countryside weve held a meeting and weve all of us decided that you must goin short weve voted you out of the family daffy said it was unanimous,humor
the pleasant fact is that the british are not much good at violent crime except in fiction which is of course as it should be,humor
democracy is a pathetic belief in the collective wisdom of individual ignorance no one in this world so far as i knowand i have researched the records for years and employed agents to help mehas ever lost money by underestimating the intelligence of the great masses of the plain people nor has anyone ever lost public office thereby,humor
if you dont have the confidence to ask you will never have the confidence to convince,inspirational_philosophy
i dont want unnecessary violence sergeant said blouseright you are sir said the sergeant carborundum first man comes through that door runnin i want him nailed to the wall he caught the lieutenants eye and added but not too hard,humor
you must be intentional and decisive about what you want to achieve during your solitude time,life
your life is too short to cry over the misgivings of othersembrace the loves you have and have had and smile another day,love
calvin who has the chicken pox calls susie on the telephone susie hello calvin hi susie its me calvin i was wondering if youd like to come over and play susie why sure boy i dont think youve ever invited me to calvins mom calvin what are you doing calvin nothing mom go away calvins mom youre contagious you cant have anyone over to play calvin shhhh shhhh youll spoil the whole thing i was going to trick susie into catching hey ow let go susie hanging up the phone any chance of getting transferred dad,humor
most people made comments on how i was the strongest woman they knewthat was before the title wave of disaster hit my charmed life,love
surely if we knew what bitterness fate held in store we would shrink back in fear and let the cup of life pass us by untasted,life
the eye fixed on christ sees clearly succumbing to neither pride nor inferiority because it is not concerned with the self at all,inspirational
love doesnt mean anything if youre not willing to make a commitment and you have to think not only about what you want but about what he wants not just now but in the future,love
i believe that when youre in love you have to pour your heart and soul out to your partner or why bother so in that sense im an incurable romantic when it comes to men,love
i know a feeling like that only comes once in a lifetime and i think you should follow your hearts desires i believe in love and i know love conquers all,love
truths are written never said lines are drawn but then they fade,love
its difficult for a young girl like me because theres a certain time for young actresses which is like a really juicy period when all the parts are love interests and young heroines of course theres always work for men whatever age they are,love
dead men cannot take effective action their power of influence on others lasts only till the grave deeds and actions that energise others belong only to the living well then look at the facts in this case the saviour is working mightily among men every day he is invisibly persuading numbers of people all over the world both within and beyond the greekspeaking world to accept his faith and be obedient to his teaching can anyone in face of this still doubt that he has risen and lives or rather that he is himself the life does a dead man prick the consciences of men,life
if i could have anyone in the world it would still be you,love
a little tranquil lake is more significant to my life than any big city in the world,life
so many thoughts ran through my head most of them contained the same simply three words so often strung together that it was too much a classic cheese or cliche to say it but they still had meaning no matter how many times they had been repeated,love
love is illiterate whether we write it big or small we cannot read it we might only guess  i seek you ,love
come let us speak with our bodiesteach me how to please youi am here to learnlet us not waste this timeit is the hour of unioncomeand after you docome again,love
they told me to pay attention to my heart that it would lead me to my purpose my passion so i did i listened closely to the beat of my heart and it always brought me back to you,love
dont dont lets pretend when theres no one around,love
yes the life of an adult entails accepting and in some way being responsible for pain,life
do not be sorrow in the storm let the joy of lord be your strength to smile,inspirational
i want you to make a list of all of your favorite things and i want to be on it,love
next to a circus there aint nothing that packs up and tears out any quicker than the christmas spirit,humor
then who is matilda i askedtoby tilted his cup and poked at the slush with his straw i suppose matildas the girl who felt like home,love
the beauty of love is that it demands to be two sided otherwise its nothing but another obsession,love
